ms,outcome
3541193,First serve in
3542259,Lost point
3579810,Good hit
3632357,Out
3695952,Out
3747661,Good hit
3796892,Bad hit
3838787,Good hit
3864440,Bad hit
3898071,Lost point
3949422,Bad hit
3985945,Good hit
4016616,Good hit
4055700,Bad hit
4085024,Lost point
4122066,Bad hit
4170435,Lost point
4222107,Out
4278747,Good hit
