ms,outcome
2105845,Good hit
2111623,Bad hit
2132277,Bad hit
2172106,Lost point
2221599,Good hit
2258715,Out
2272536,Out
2284907,Good hit
2292256,Out
2305836,Good hit
2345536,Out
2366745,Bad hit
2387945,Good hit
2408307,Out
2438560,Out
2454561,Bad hit
2478288,Bad hit
