ms,outcome
1279432,Out
1308950,Good hit
1323660,Good hit
1334840,Good hit
1366149,Good hit
1401455,First serve in
1419363,First serve in
1420220,Lost point
1464544,Lost point
1511491,Lost point
1556917,Good hit
1571868,First serve in
1597314,Good hit
1637319,First serve in
1638454,Bad hit
1673075,Out
1719726,Bad hit
1733768,Out
1748690,Out
1763956,Good hit
1790601,Out
1825269,First serve in
1826342,Good hit
1864068,Out
1929291,Lost point
1971051,Good hit
2002192,Bad hit
2004071,First serve in
2036870,Good hit
2064238,First serve in
2065497,Good hit
2080538,First serve in
2081919,Good hit
