ms,outcome
419037,Out
445806,Out
479157,Bad hit
513224,First serve in
514825,Out
538911,Lost point
542661,First serve in
545741,Bad hit
584649,Lost point
634312,Bad hit
697126,Lost point
713571,Out
732041,Good hit
752643,Good hit
785193,Out
817887,Out
876813,Bad hit
912981,Bad hit
939057,Bad hit
960324,Out
977765,Good hit
1005161,Good hit
1030229,Good hit
1058089,Good hit
1084651,Bad hit
1110135,Bad hit
1163379,Good hit
1188901,First serve in
1190532,Good hit
1219241,Good hit
1220680,Good hit
